Customer_ID,First_Name,Last_Name,Full_Name,Email,Gender,Birth_Date,Age,Age_Group
1,Joel,Thompson,Joel Thompson,wadeelizabeth@example.com,F,1952-10-17,73,65+
2,Nicole,Butler,Nicole Butler,kellyjose@example.net,M,1968-04-27,57,50-64
3,Joshua,Leblanc,Joshua Leblanc,danielssamantha@example.com,F,1954-10-17,71,65+
4,Melissa,Hardy,Melissa Hardy,troy32@example.org,F,2005-08-25,20,18-24
5,Paul,Smith,Paul Smith,elliottlauren@example.com,F,2001-03-29,24,18-24
6,Jack,Torres,Jack Torres,brenda50@example.net,M,1993-06-09,32,25-34
7,Matthew,Villa,Matthew Villa,dana38@example.org,M,1967-01-01,59,50-64
8,Eric,Andrews,Eric Andrews,elaine17@example.com,M,1981-06-14,44,35-49
9,Kayla,Park,Kayla Park,kwagner@example.org,F,1989-04-23,36,35-49
10,Judith,Hall,Judith Hall,avilla@example.net,F,1976-11-10,49,35-49
11,Wendy,Wallace,Wendy Wallace,zachary17@example.org,F,1991-08-27,34,25-34
12,Paul,Thomas,Paul Thomas,joseph60@example.com,M,1965-11-16,60,50-64
13,Gerald,Ford,Gerald Ford,hannahramirez@example.org,F,1998-10-10,27,25-34
14,Renee,Glass,Renee Glass,shawn08@example.org,M,1974-12-24,51,50-64
15,George,Cook,George Cook,dawn79@example.org,M,1950-08-26,75,65+
16,Kenneth,Cook,Kenneth Cook,ghernandez@example.net,F,1999-02-28,27,25-34
17,Amanda,Shaw,Amanda Shaw,ihoffman@example.net,M,1966-11-27,59,50-64
18,Patricia,Wells,Patricia Wells,prestondakota@example.com,M,1995-06-01,30,25-34
19,John,Sherman,John Sherman,kevin03@example.net,F,2003-11-02,22,18-24
20,Kendra,Carter,Kendra Carter,shannonjones@example.com,M,1968-02-10,58,50-64
21,Christopher,Gallegos,Christopher Gallegos,ashleysmith@example.org,F,1983-01-23,43,35-49
22,Kevin,Dawson,Kevin Dawson,gary83@example.org,F,1963-12-04,62,50-64
23,Melissa,Adkins,Melissa Adkins,imorse@example.net,M,1964-10-07,61,50-64
24,Jessica,Hurst,Jessica Hurst,nlawrence@example.net,M,2000-11-01,25,25-34
25,Christopher,Gomez,Christopher Gomez,mary90@example.net,M,1980-08-27,45,35-49
26,Bradley,Nielsen,Bradley Nielsen,veronica00@example.net,F,1994-12-13,31,25-34
27,Michael,Hawkins,Michael Hawkins,schmidtalexis@example.org,F,1982-01-07,44,35-49
28,Alexander,Castaneda,Alexander Castaneda,lthornton@example.org,M,1982-11-06,43,35-49
29,Mitchell,Rivera,Mitchell Rivera,michael77@example.net,M,1994-07-19,31,25-34
30,Lauren,Schwartz,Lauren Schwartz,amanda15@example.org,F,1994-06-23,31,25-34
31,Maria,Walker,Maria Walker,qmullins@example.net,M,1956-08-26,69,65+
32,Roger,Miles,Roger Miles,gilmoremary@example.org,F,1951-08-03,74,65+
33,Crystal,Garcia,Crystal Garcia,jason07@example.net,F,1999-07-03,26,25-34
34,Alexis,Mcdonald,Alexis Mcdonald,kimberlybowman@example.net,F,1945-06-07,80,65+
35,Christine,Richard,Christine Richard,onealthomas@example.net,F,1987-06-10,38,35-49
36,David,Bradford,David Bradford,brianford@example.net,M,2006-04-16,19,18-24
37,John,Farmer,John Farmer,hcastro@example.net,M,2003-02-03,23,18-24
38,Chase,West,Chase West,hickmanjesse@example.com,M,1963-02-06,63,50-64
39,Jeremy,Bryant,Jeremy Bryant,patrick65@example.net,F,1974-04-07,51,50-64
40,Wendy,Cobb,Wendy Cobb,erobbins@example.com,M,1962-07-05,63,50-64
